	Date	TD	YD	Release	Daily	%+-YD	%+-LW	Theatre	Avg	To Date	Days	Distributor	google trends
103	2020-11-18	8	9	Love and Monsters	$5,577	-17.9%	-57.1%	129	$43	$1,066,072	34	"Paramount Pictures

"	1.1111111111111114
104	2020-11-18	9	11	The Informer	$5,182	-16.6%	-66.6%	168	$30	$265,301	13	"Vertical Entertainment

"	0.24210526315789474
105	2020-11-18	10	7	Come Away	$4,662	-51.7%	-	475	$9	$126,081	6	"Relativity Media

"	0.9433962264150944
106	2020-11-18	11	10	The Empty Man	$3,983	-41.1%	-87.2%	506	$7	$2,937,245	27	"20th Century Studios

"	0.17777777777777778
107	2020-11-18	12	12	Spell	$2,575	-38.9%	-75.5%	159	$16	$494,814	20	"Paramount Pictures

"	15.855639829367258
108	2020-11-18	13	13	2 Hearts	$1,019	-35%	-85.9%	148	$6	$1,340,353	34	"Freestyle Releasing

"	0.4583333333333333
109	2020-11-18	14	14	After We Collided	$858	-24.1%	-82.4%	141	$6	$2,379,881	27	"Open Road Films (II)

"	2.454084086737149
110	2020-11-18	15	15	A Call to Spy	$568	-8.8%	-34%	8	$71	$151,332	48	"IFC Films

"	0.03
111	2020-11-18	16	16	The Broken Hearts Gallery	$397	+31%	-67.9%	239	$1	$4,067,187	69	"TriStar Pictures

"	0.1232876712328767
112	2020-11-18	17	17	Pray: The Story of Patrick Peyton	$158	-32.5%	+12.1%	19	$8	$69,661	41	"ArtAffects Entertainment

"	0.0
113	2020-11-18	18	18	The Call	$155	-29.5%	-	20	$7	$515,727	48	"Atlas Distribution Company

"	12.849584278155714
114	2020-11-18	19	20	Words on Bathroom Walls	$22	-38.9%	-94.6%	4	$5	$2,542,414	90	"Roadside Attractions

"	0.17333333333333334
115	2020-11-18	20	19	Infidel	$0	-100%	-100%	7	$0	$4,051,121	62	"Cloudburst Entertainment

"	0.2380952380952381
116	2020-11-18	21	21	Counter Column	$0	-	-100%	1	$0	$15,504	34	"Not That Kind of Movie Productions

"	0.0
117	2020-11-17	1	1	Freaky	$242,345	+15.5%	-	2,472	$98	$4,052,580	5	"Universal Pictures

"	2.4565381708238863
118	2020-11-17	2	2	Let Him Go	$131,240	+44.4%	-63.5%	2,458	$53	$7,054,995	12	"Focus Features

"	0.7936507936507938
119	2020-11-17	3	5	The War with Grandpa	$73,971	+32.3%	-42.2%	2,145	$34	$15,353,153	40	"101 Studios

"	0.36619718309859156
120	2020-11-17	4	6	Honest Thief	$63,201	+30.7%	-45.7%	1,843	$34	$12,473,674	40	"Open Road Films (II)

"	0.5789473684210527
121	2020-11-17	5	4	Come Play	$63,005	+12.4%	-55.2%	1,966	$32	$7,408,930	19	"Focus Features

"	1.9047619047619049
122	2020-11-17	6	3	The Last Shift	$52,288	-40.6%	+68,700%	135	$387	$936,986	54	"Stage 6 Films

"	0.07
123	2020-11-17	7	8	Come Away	$9,660	+70.2%	-	475	$20	$121,419	5	"Relativity Media

"	0.9811320754716981
124	2020-11-17	8	7	The New Mutants	$7,921	-13.8%	-60.3%	215	$36	$23,756,737	82	"20th Century Studios

"	1.824484583105273
125	2020-11-17	9	9	Love and Monsters	$6,795	+31%	-47.7%	129	$52	$1,060,495	33	"Paramount Pictures

"	1.1904761904761907
126	2020-11-17	10	11	The Empty Man	$6,761	+39%	-77.1%	506	$13	$2,933,262	26	"20th Century Studios

"	0.2
127	2020-11-17	11	10	The Informer	$6,217	+20.2%	-59.7%	168	$37	$260,119	12	"Vertical Entertainment

"	0.2736842105263158
128	2020-11-17	12	12	Spell	$4,215	+27.3%	-59.3%	159	$26	$492,239	19	"Paramount Pictures

"	16.072840374975026
129	2020-11-17	13	13	2 Hearts	$1,568	+64.2%	-77.7%	148	$10	$1,339,334	33	"Freestyle Releasing

"	0.5625
130	2020-11-17	14	14	After We Collided	$1,131	+22.8%	-74.9%	141	$8	$2,379,023	26	"Open Road Films (II)

"	2.2086756780634342
131	2020-11-17	15	15	A Call to Spy	$623	+63.9%	-57.2%	8	$77	$150,764	47	"IFC Films

"	0.05
132	2020-11-17	16	16	The Broken Hearts Gallery	$303	-4.7%	-40%	239	$1	$4,066,790	68	"TriStar Pictures

"	0.1506849315068493
133	2020-11-17	17	18	Pray: The Story of Patrick Peyton	$234	+239.1%	-12%	19	$12	$69,503	40	"ArtAffects Entertainment

"	0.0
134	2020-11-17	18	17	The Call	$220	+25.7%	-	20	$11	$515,572	47	"Atlas Distribution Company

"	13.416477702191994
135	2020-11-17	19	19	Infidel	$57	+83.9%	-88.6%	7	$8	$4,051,121	61	"Cloudburst Entertainment

"	0.2380952380952381
136	2020-11-17	20	20	Words on Bathroom Walls	$36	+200%	-88.6%	4	$9	$2,542,392	89	"Roadside Attractions

"	0.18666666666666668
137	2020-11-17	21	21	Counter Column	$0	-	-100%	1	$0	$15,504	33	"Not That Kind of Movie Productions

"	0.006115200000000001
138	2020-11-16	1	1	Freaky	$209,880	-70.7%	-	2,472	$84	$3,810,235	4	"Universal Pictures

"	3.0234315948601678
139	2020-11-16	2	2	Let Him Go	$90,855	-76.8%	-59%	2,458	$36	$6,923,755	11	"Focus Features

"	0.7142857142857144
140	2020-11-16	3	8	The Last Shift	$88,094	+54.8%	+123,976.1%	135	$652	$884,698	53	"Stage 6 Films

"	0.05
141	2020-11-16	4	4	Come Play	$56,030	-75.7%	-49.9%	1,966	$28	$7,345,925	18	"Focus Features

"	1.9841269841269844
142	2020-11-16	5	3	The War with Grandpa	$55,907	-83.9%	-23.7%	2,145	$26	$15,279,182	39	"101 Studios

"	0.30985915492957744
143	2020-11-16	6	5	Honest Thief	$48,356	-73%	-37.4%	1,843	$26	$12,410,473	39	"Open Road Films (II)

"	0.5789473684210527
144	2020-11-16	7	13	The New Mutants	$9,186	-62.1%	-34.5%	215	$42	$23,748,816	81	"20th Century Studios

"	1.550811895639482
145	2020-11-16	8	11	Come Away	$5,675	-79.6%	-	475	$11	$111,759	4	"Relativity Media

"	1.2264150943396226
146	2020-11-16	9	15	Love and Monsters	$5,187	-66.8%	-40.8%	129	$40	$1,053,700	32	"Paramount Pictures

"	1.1111111111111114
147	2020-11-16	10	16	The Informer	$5,171	-63.6%	-55.5%	168	$30	$253,902	11	"Vertical Entertainment

"	0.3473684210526316
148	2020-11-16	11	14	The Empty Man	$4,863	-76.1%	-78.8%	506	$9	$2,926,501	25	"20th Century Studios

"	0.2
149	2020-11-16	12	17	Spell	$3,311	-70.6%	-63.4%	159	$20	$488,024	18	"Paramount Pictures

"	16.072840374975026
150	2020-11-16	13	20	2 Hearts	$955	-70.9%	-77.9%	148	$6	$1,337,766	32	"Freestyle Releasing

"	0.3958333333333333
